OldSampleID,FishCode,ID,FishID,SampleID,Date,Lat,Long,Section,Edge,VR,DrillSize,FL_cm,CalcTL,Sex,Lifestage,FinalAge,FinalMat,Weight,d15N,relN,Area.All,d13C,relC,Area.All2,Area.All3,d34S_uncorr,d34S,relS,ug.N,ug.C,ug.S,CNratio
PM11023324-S0,PM11023324,18,18M,18M-0,07/10/2011,1.74166667,-23.80833333,0,N,0,3,231,288.75,M,Pre-birth,17,3,0.0454,10.439,0,8.281,-13.376,0,15.015,0.814,14.208,16.1414088,0,7.341196498,22.03809259,0.36386524,3.502304839
PM11030568-S0,PM11030568,19,19M,19M-0,12/11/2011,12.875,-33.925,0,N,0,3,209,261.25,M,Pre-birth,13,3,0.0566,11.098,0,10.025,-12.901,0,18.104,1.073,13.941,15.8493251,0,8.450175663,26.23024416,0.443510738,3.621457439
PM11032422-S0,PM11032422,20,20F,20F-0,12/11/2011,12.875,-33.925,0,N,0,3,220,275,F,Pre-birth,15,5,0.0546,10.778,0,9.186,-13.052,0,16.4,0.763,14.052,15.9578028,0,8.200965039,25.59570637,0.355757038,3.641237012
PM11032889-S0,PM11032889,21,21F,21F-0,12/11/2011,12.875,-33.925,0,N,0,3,228,285,F,Pre-birth,20,5,0.0438,10.32,0,7.393,-13.973,0,13.7,0.731,13.635,15.454611,0,6.62135214,20.20992632,0.336369961,3.560941462
PM12022140-S0,PM12022140,22,22F,22F-0,15/09/2012,10.94166667,-30.76666667,0,N,0,3,230,287.5,F,Pre-birth,16,4,0.0444,10.355,0,6.777,-13.952,0,12.685,0.603,13.951,15.8333686,0,6.122000649,18.7988322,0.293967602,3.582484249
PM12031731-S0,PM12031731,23,23F,23F-0,19/10/2012,21.34166667,-23.24166667,0,N,0,3,223,278.75,F,Pre-birth,17,4,0.0421,11.573,0,6.435,-14.121,0,12.614,0.804,10.96,12.235344,0,5.872174723,20.35193906,0.368754755,4.043464308
PM12033155-S0,PM12033155,24,24F,24F-0,22/10/2012,21.71666667,-23.24166667,0,N,0,3,223,278.75,F,Pre-birth,15,5,0.0464,12.437,0,7.474,-13.229,0,13.783,0.661,13.943,15.8237798,0,6.687013619,20.32531628,0.313181171,3.546107477
PM10011524-S1,PM10011524,01,01F,01F-1,08/02/2010,14.43333333,-26.475,1,N,2.5,1,246,307.5,F,Pre-birth,18,6,0.0468,12.442,1.728,9.279,-12.875,0.349,16.264,0.83,12.767,14.4509737,-1.7030648,7.854519323,23.81491205,0.372607376,3.537334739
PM11030030-S1,PM11030030,04,04M,04M-1,07/10/2011,1.74166667,-23.80833333,1,N,2.5,1,240,300,M,Pre-birth,22,3,0.0541,12.25,-0.1,10.693,-12.791,0.049,18.79,1.021,12.825,14.5200575,-1.5749899,8.983551581,27.13074298,0.428338002,3.523387514
PM11032886-S1,PM11032886,05,05F,05F-1,12/11/2011,12.875,-33.925,1,N,2.5,1,237,296.25,F,Juvenile,22,4,0.0553,13.277,2.952,11.177,-12.869,0.204,19.098,0.948,11.743,13.2312873,-2.6764017,9.370009582,27.53504857,0.407037815,3.428408803
PM10022029-S2,PM10022029,13,13F,13F-2,04/12/2010,19.10833333,-21.66666667,2,N,4.25,1.5,210,262.5,F,Juvenile,14,2,0.0457,12.009,1.975,7.801,-13.205,0.222,13.799,0.775,13.205,14.9380995,-0.9875613,7.028527893,21.9932133,0.359561248,3.650657611
PM12033155-S2,PM12033155,24,24F,24F-2,22/10/2012,21.71666667,-23.24166667,2,N,4.25,1.5,223,278.75,F,Juvenile,15,5,0.0523,12.25,-0.187,9.034,-12.724,0.505,16.717,0.936,12.613,14.2296418,-1.594138,7.951605058,24.40428194,0.404279988,3.580618259
PM10021294-S2,PM10021294,02,02F,02F-2,08/12/2010,17.31666667,-21.85,2,N,4.25,1.5,249,311.25,F,Juvenile,17,6,0.0461,11.738,-0.887,8.46,-12.695,0.422,14.955,0.674,12.166,13.6938676,-2.386733,7.486300259,21.95467816,0.31748766,3.421421837
PM10011567-S2,PM10011567,08,08M,08M-2,08/02/2010,14.43333333,-26.475,2,N,4.25,1.5,205,256.25,M,Juvenile,15,3,0.0447,11.72,0.307,8.013,-12.496,0.333,14.361,0.733,11.8,13.25518,-1.3053749,7.123946174,21.1288753,0.337032497,3.460210663
PM11010051-S2,PM11010051,14,14M,14M-2,17/01/2011,5.55833333,-24.11666667,2,N,4.25,1.5,210,262.5,M,Juvenile,14,3,0.0575,11.909,0.75,9.72,-13.288,0.044,17.749,1.005,12.25,13.79455,-1.6348904,8.507701038,25.83901015,0.42713751,3.543320541
PM11032889-S2,PM11032889,21,21F,21F-2,12/11/2011,12.875,-33.925,2,N,4.25,1.5,228,285,F,Juvenile,20,5,0.0498,10.999,0.679,8.827,-14.449,-0.476,15.435,0.714,13.528,15.3263608,-0.1282502,7.783803502,22.6219936,0.330738397,3.390672165
PM12022140-S2,PM12022140,22,22F,22F-2,15/09/2012,10.94166667,-30.76666667,2,N,4.25,1.5,230,287.5,F,Juvenile,16,4,0.0506,8.634,-1.721,6.835,-17.823,-3.871,15.515,0.633,13.311,15.0657129,-0.7676557,6.210784729,24.3699446,0.314544763,4.577779342
PM14021253-S2,PM14021253,06,06M,06M-2,13/09/2014,5.51666667,-25.99166667,2,N,4.25,1.5,228,285,M,Juvenile,21,3,0.0479,12.519,-0.336,7.831,-12.967,0.411,14.123,0.767,13.092,14.8020588,-0.4451944,7.053923643,22.44196676,0.357025108,3.711734898
AL09022380-S2,AL09022380,07,07F,07F-2,03/01/2010,-24.14166667,-24.10833333,2,N,4.25,1.5,235,293.75,F,Juvenile,16,6,0.0539,15.439,3.63,9.536,-13.563,-0.067,16.964,0.91,14.072,15.9783992,-0.1186614,8.358544099,24.74767135,0.395667009,3.454223953
PM10020161-S2,PM10020161,09,09F,09F-2,11/02/2010,15.58333333,-23.025,2,N,4.25,1.5,222,277.5,F,Juvenile,15,2,0.0557,8.994,-1.985,10.292,-20.4,-6.405,22.955,0.918,13.454,15.2692594,-1.67641,8.663366337,32.59805723,0.398284314,4.389871707
PM10020597-S2,PM10020597,10,10M,10M-2,11/02/2010,15.58333333,-23.025,2,N,4.25,1.5,220,275,M,Juvenile,15,3,0.0558,12.072,0.551,10.057,-12.624,0.778,18.211,1.06,11.857,13.3670727,-1.9173371,8.475726605,26.37070097,0.439717554,3.629873784
